자치구,야간_유동인구,버스노선_총합,노후주택_비율,고시원_수,발생_10만명당,예측_위험도_점수,CCTV_설치_우선순위_점수,조도_지수,CCTV_대수,자연감시_시너지_지수,사각지대_취약_지수,군중밀집_위험_지수
종로구,408985.19,1344.0,53.11731274917296,1489.0,1848.1631998288865,100.0,60.0,40.0,2575.0,516.8574667669482,3.9707289918974404,8283695639.3361
중구,451331.42,1249.0,35.71749080139998,1317.0,0.0,0.0,0.0,0.0,0.0,0.0,4513314199999999.0,2368630679.2164016
용산구,550035.08,1070.0,47.2887283348065,448.0,1529.5081816256434,84.3,76.0,24.0,1864.0,317.2257397213696,12.295128037106165,2503509230.6063957
성동구,643513.36,947.0,37.34914667163574,1040.0,752.6067496418275,1.3,37.5,62.5,2618.0,835.9187263269779,3.9328541150792664,20596084498.489597
광진구,823415.03,1004.0,42.36074076397821,1644.0,823.1703819281117,29.0,41.9,58.1,2457.0,791.3926993445059,5.768161674606782,104597281629.90092
동대문구,679532.52,1479.0,28.431487617482688,2703.0,896.8134678181722,4.6,34.5,65.5,2879.0,879.6101006344039,3.6035222890384744,32231925737.550407
중랑구,656772.92,1660.0,43.696019060855754,1126.0,822.3714087749026,5.3,25.2,74.8,3386.0,1001.9531156236495,2.593143954883721,24577748445.326412
성북구,829221.19,1605.0,36.424407685137524,2437.0,502.0262644326805,0.1,23.6,76.4,2958.0,1041.1977972818067,3.6692626910246604,108386591945.01607
강북구,535369.71,1213.0,45.290766208251476,1122.0,791.0178523295112,3.3,20.3,79.7,3615.0,1051.2999617343064,1.8581771593195375,1251016385.4840975
도봉구,465441.8,1105.0,62.65710793702913,564.0,568.8947561039369,0.1,24.2,75.8,2848.0,989.2464323059137,2.1560366250713403,1194269187.2400007
노원구,926696.83,1859.0,75.66439151902411,1025.0,624.5065974963347,1.3,21.3,78.7,3183.0,1081.2894284006638,3.699357048655762,182070184732.04886
은평구,819455.2,1916.0,27.038464121932304,1044.0,691.3076179219942,1.5,28.3,71.7,2867.0,976.295609584436,3.9863764155688606,102051624807.03996
서대문구,672403.3,1963.0,41.021154913414414,1902.0,644.6510284914413,2.0,34.5,65.5,3368.0,878.9192874451926,3.048009987790687,29722897850.890015
마포구,963314.56,1791.0,32.72628935677033,1327.0,1043.8771814511265,42.7,63.9,36.1,2406.0,497.39072120338176,11.090858831109383,214660381507.99365
양천구,718607.94,1469.0,48.52416389601771,777.0,690.6856436384398,0.9,32.7,67.3,2584.0,907.5453856059056,4.132228909198993,47789431431.04358
강서구,1029127.19,2344.0,38.8519448236716,1303.0,712.9211624457038,2.9,30.0,70.0,2842.0,969.0955809021592,5.173052374387826,279975583197.296
구로구,718008.71,1520.0,43.07285248278362,1344.0,820.0701113819323,8.9,18.6,81.4,3782.0,1097.617003449526,2.332296328964379,47527797635.86408
금천구,379668.24,1220.0,35.13561864395117,1414.0,843.6859497218387,13.3,18.7,81.3,3625.0,1044.465630980183,1.2882663349976151,14479732464.697601
영등포구,865019.72,1982.0,45.475650155202544,2540.0,1049.164973449857,57.4,70.1,29.900000000000006,2125.0,408.74821130759227,13.614313226443638,133239395988.87837
동작구,782525.55,1434.0,38.8093132433527,3820.0,633.5322910427725,1.1,16.0,84.0,3369.0,1139.9037829647975,2.7651466964885874,79820686402.80252
관악구,1017415.57,1631.0,38.95577423713804,6710.0,904.927161938582,24.1,42.3,57.7,3041.0,798.1512443160092,5.798371934377192,267718872078.42484
서초구,1008444.53,2688.0,29.54015130122022,1761.0,917.0225333836872,60.0,69.7,30.299999999999997,2133.0,418.86479490751736,15.603369221557083,258515840086.92093
강남구,1531720.07,2547.0,40.39225887004474,3307.0,1084.3106096250988,83.5,90.1,9.900000000000006,819.0000000000002,140.9948351808032,188.9121377520344,1064446302840.805
