자치구,총범죄수,살인,강도,강간강제추행,절도,폭력,CCTV수,인구수,면적,인구1만명당범죄수,인구1만명당CCTV수,면적당CCTV수,면적당범죄수,CCTV1대당범죄수,추가설치우선순위점수,추가설치필요도,예측_추가설치필요도
종로구,2765,2,5,209,1183,1366,3125.0,137449,23.91,201.16552321224597,227.35705607170658,130.69845253032204,115.64199079882894,0.8848,57.13649313194086,높음,높음
중구,2955,5,5,177,1398,1370,3427.0,118331,9.96,249.72323397926155,289.6113444490455,344.0763052208835,296.6867469879518,0.8622702071782901,54.47124690132923,높음,높음
용산구,3322,10,4,267,1082,1959,3801.0,202507,21.87,164.0437120692124,187.69721540489957,173.7997256515775,151.8975765889346,0.8739805314390949,56.776942458481805,높음,높음
성동구,2117,5,3,114,966,1029,4790.0,274424,16.82,77.14339853657114,174.54741567792905,284.78002378121283,125.86206896551724,0.4419624217118998,27.840003697192934,낮음,낮음
광진구,2870,2,6,235,1320,1307,4872.0,331786,17.06,86.5015401493734,146.84163888771678,285.5803048065651,168.22977725674093,0.5890804597701149,39.68044953737177,보통,보통
동대문구,3216,7,4,125,1617,1463,4305.0,344357,14.22,93.39145131360767,125.01560880133117,302.74261603375527,226.16033755274262,0.7470383275261324,50.26187572216324,높음,높음
중랑구,3169,5,2,143,1437,1582,5549.0,377054,18.5,84.04631697316564,147.16724925342257,299.94594594594594,171.2972972972973,0.5710938907911335,38.545704824920875,낮음,낮음
성북구,2184,3,1,146,884,1150,5304.0,423705,24.59,51.54529684568273,125.18143519665806,215.6974379829199,88.81659211061407,0.4117647058823529,31.014678872198953,낮음,낮음
강북구,2289,6,0,142,970,1171,4598.0,279632,23.61,81.85758425359043,164.43039423241976,194.7479881406184,96.95044472681067,0.49782514136581124,32.494212186321775,낮음,낮음
도봉구,1741,7,0,73,800,861,3114.0,300627,20.65,57.91229663336959,103.58351046313204,150.79903147699758,84.30992736077482,0.5590879897238279,41.10592945641632,보통,낮음
노원구,3101,7,3,146,1508,1437,4238.0,485290,35.46,63.89993612067012,87.32922582373426,119.51494641849972,87.45064861816131,0.7317130722038697,50.92544646549371,높음,높음
은평구,3217,9,1,132,1517,1558,5883.0,456727,29.71,70.43594970299544,128.80779984542187,198.01413665432514,108.28004039044093,0.5468298487166412,38.48213821249735,낮음,낮음
서대문구,2054,3,0,131,1014,906,4305.0,300843,17.63,68.27481443809562,143.09789491528804,244.18604651162792,116.505955757232,0.4771196283391405,33.11129877952767,낮음,낮음
마포구,3891,4,4,503,1471,1909,4050.0,358523,23.85,108.52860207016008,112.96346398975797,169.81132075471697,163.14465408805032,0.9607407407407408,62.455009919161185,높음,높음
양천구,3000,4,1,109,1518,1368,5066.0,426242,17.41,70.38255263441894,118.85267054865545,290.9821941412981,172.3147616312464,0.5921831819976313,41.80594237742413,보통,보통
강서구,4008,5,6,271,1670,2056,4588.0,550248,41.45,72.83988310725346,83.38058475451069,110.6875753920386,96.69481302774426,0.8735832606800349,58.0318538536133,높음,높음
구로구,3378,7,0,186,1572,1613,5881.0,384991,20.12,87.7423108592149,152.75681769184214,292.2962226640159,167.89264413518885,0.5743921101853426,38.343344735420295,낮음,낮음
금천구,2017,7,3,129,886,992,3986.0,223588,13.02,90.21056586221086,178.2743259924504,306.14439324116745,154.91551459293396,0.5060210737581535,31.83220504336565,낮음,낮음
영등포구,4167,11,6,284,1791,2075,5450.0,371876,24.55,112.05348019232217,146.55422775333713,221.9959266802444,169.73523421588595,0.7645871559633027,50.5297028001944,높음,높음
동작구,2454,1,1,180,1085,1187,4182.0,373084,16.36,65.77607187657472,112.0927190659476,255.6234718826406,150.0,0.5868005738880918,41.97833264095847,보통,보통
관악구,4485,4,3,338,1971,2169,7202.0,478282,29.57,93.77312965990775,150.58061980170694,243.55765979032805,151.6739939127494,0.6227436823104693,41.52423222148883,보통,보통
서초구,3788,10,5,364,1585,1824,6377.0,413236,46.97,91.66674733082306,154.31859760524253,135.76751117734725,80.64722163082818,0.5940097224400188,39.47102797150953,보통,보통
강남구,6107,16,17,640,2097,3337,8600.0,556462,39.5,109.74693689775762,154.54783974467261,217.72151898734177,154.60759493670886,0.7101162790697675,46.80667543628267,보통,보통
송파구,5174,6,3,315,2502,2348,5002.0,645052,33.88,80.21058767355188,77.54413597663444,147.6387249114522,152.71546635182997,1.0343862455017994,65.785768333747,높음,높음
강동구,3350,3,4,164,1662,1517,4918.0,499216,24.59,67.10522098650684,98.51447069004199,200.0,136.23424156161042,0.6811712078080521,47.839124623866255,보통,보통
