0,1,2,3,4,5,6,7,8,9,10,11,12
,서울시 자치구 (연도별) CCTV 설치 현황,,,,,,,,,,,
,"(단위 : 대, '25. 12. 31. 기준)",,,,,,,,,,,
,자치구,총 계,2016년 이전,2017년,2018년,2019년,2020년,2021년,2022년,2023년,2024년,2025년
,계,122613,15219,9222,10188,12635,11384,9390,9014,13935,20270,11356
,종로구,3125,38,55,115,45,223,85,225,1026,1041,272
,중 구,3427,388,366,384,162,352,404,137,138,582,514
,용산구,3801,105,98,65,317,563,400,446,385,649,773
,성동구,4790,507,924,454,688,480,361,231,488,368,289
,광진구,4872,60,652,464,637,194,739,277,348,1015,486
,동대문구,4305,1586,143,195,211,224,181,234,509,572,450
,중랑구,5549,337,179,208,1056,987,603,348,689,895,247
,성북구,5304,515,294,707,632,202,370,337,405,1065,777
,강북구,4598,170,1,294,919,533,384,633,370,836,458
,도봉구,3114,4,22,127,144,151,542,527,643,582,372
,노원구,4238,654,153,205,315,378,213,161,619,1338,202
,은평구,5883,730,361,593,1062,441,567,503,462,882,282
,서대문구,4305,1480,416,246,325,441,327,174,323,511,62
,마포구,4050,1064,364,346,383,239,164,70,736,473,211
,양천구,5066,410,557,823,323,349,357,387,994,588,278
,강서구,4588,310,398,257,454,361,435,604,429,1057,283
,구로구,5881,270,535,534,784,749,684,336,484,1318,187
,금천구,3986,17,109,517,368,511,207,304,824,747,382
,영등포구,5450,1511,311,657,65,1217,283,346,198,547,315
,동작구,4182,434,208,300,312,429,31,358,439,1348,323
,관악구,7202,480,639,662,886,400,550,137,745,1067,1636
,서초구,6377,1178,1019,416,332,415,565,882,469,744,357
,강남구,8600,1741,918,726,807,671,501,603,912,610,1111
,송파구,5002,303,227,516,1052,260,175,373,941,747,408
,강동구,4918,927,273,377,356,614,262,381,359,688,681
,※ 서울특별시 각 자치구의 CCTV 통합관제센터에 연계된 CCTV 현황입니다. (미연계 CCTV 수량 제외),,,,,,,,,,,
