"행정구역","2025년10월_총인구수","2025년10월_세대수","2025년10월_남여 비율"
"서울특별시  (1100000000)","9,313,532","4,503,798","          0.93"
"서울특별시 종로구 (1111000000)","137,449","72,409","          0.92"
"서울특별시 중구 (1114000000)","118,331","64,120","          0.92"
"서울특별시 용산구 (1117000000)","202,507","103,214","          0.91"
"서울특별시 성동구 (1120000000)","274,424","133,109","          0.93"
"서울특별시 광진구 (1121500000)","331,786","171,205","          0.92"
"서울특별시 동대문구 (1123000000)","344,357","175,850","          0.95"
"서울특별시 중랑구 (1126000000)","377,054","189,015","          0.96"
"서울특별시 성북구 (1129000000)","423,705","199,197","          0.92"
"서울특별시 강북구 (1130500000)","279,632","142,415","          0.93"
"서울특별시 도봉구 (1132000000)","300,627","139,131","          0.93"
"서울특별시 노원구 (1135000000)","485,290","217,192","          0.92"
"서울특별시 은평구 (1138000000)","456,727","214,821","          0.90"
"서울특별시 서대문구 (1141000000)","300,843","146,337","          0.90"
"서울특별시 마포구 (1144000000)","358,523","180,519","          0.87"
"서울특별시 양천구 (1147000000)","426,242","179,859","          0.95"
"서울특별시 강서구 (1150000000)","550,248","273,372","          0.92"
"서울특별시 구로구 (1153000000)","384,991","184,528","          0.96"
"서울특별시 금천구 (1154500000)","223,588","121,554","          1.01"
"서울특별시 영등포구 (1156000000)","371,876","192,505","          0.95"
"서울특별시 동작구 (1159000000)","373,084","187,189","          0.93"
"서울특별시 관악구 (1162000000)","478,282","288,753","          1.01"
"서울특별시 서초구 (1165000000)","413,236","173,127","          0.91"
"서울특별시 강남구 (1168000000)","556,462","245,450","          0.92"
"서울특별시 송파구 (1171000000)","645,052","286,553","          0.92"
"서울특별시 강동구 (1174000000)","499,216","222,374","          0.95"
